"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"173","Zach Ertz","","","TE17","181","","155.0"
"174","Rashaad Penny","","","RB54","169","","155.7"
"175","Miami Dolphins","DST","14","DST12","184","","188.0"
"176","Mason Crosby","","","K9","179","","197.3"
"177","Kansas City Chiefs","DST","12","DST13","186","","197.3"
"178","Evan Engram","DEN","11","TE18","192","","169.7"
"179","Bryan Edwards","","","WR61","180","","169.7"
"180","Pat Freiermuth","PIT","7","TE19","174","","170.3"
"181","Sterling Shepard ","","","WR62","214","","173.3"
"182","Gerald Everett","","","TE20","175","","175.7"
"183","Giovani Bernard","","","RB55","210","","180.3"
"184","","","","1","183","","180.7"
"185","Robbie Gould","","","K10","155","","210.8"
"186","Kenneth Gainwell","TB","9","RB56","187","","181.7"
"187","Terrace Marshall Jr.","MIA","14","WR63","177","","181.7"
"188","Daniel Carlson","LV","8","K11","208","","206.5"
"189","Jason Myers","SEA","9","K12","168","","208.5"
"190","Derek Carr","","","QB25","213","","184.3"
"191","Marlon Mack","","","RB57","191","","186.3"
"192","Tony Jones Jr.","","","RB58","199","","186.3"
"193","A.J. Green","","","WR64","188","","187.7"
"194","Amon-Ra St. Brown","DET","9","WR65","176","","188.3"
"195","Randall Cobb","","","WR66","159","","188.7"
"196","Gabe Davis","","","WR67","212","","192.7"
"197","Matt Gay","LV","8","K13","201","","216.5"
"198","Darrel Williams","","","RB59","207","","193.7"
"199","Devontae Booker","","","RB60","173","","197.0"
"200","Zach Wilson","NO","6","QB26","178","","197.7"
"201","Anthony Firkser","","","TE21","240","","200.7"
"202","Damien Williams","","","RB61","239","","205.0"
"203","Matt Prater","","","K14","164","","208.3"
"204","Deshaun Watson","CLE","13","QB27","195","","213.3"
"205","Ty","","'Son Williams","","","RB62","198","","180.5"
"206","Marquez Valdes-Scantling","","","WR68","203","","215.7"
"207","Malcolm Brown","","","RB63","235","","215.7"
"208","Brandon McManus","GB","13","K15","200","","217.3"
"209","Darrynton Evans ","","","RB64","","","186.0"
"210","Minnesota Vikings","DST","7","DST14","172","","226.7"
"211","Jalen Reagor","","","WR69","196","","192.0"
"212","Austin Hooper","ATL","6","TE22","189","","195.5"
"213","Rashod Bateman","BAL","8","WR70","217","","198.5"
"214","Ty Johnson","BUF","7","RB65","221","","202.5"
"215","Jamison Crowder","","","WR71","248","","206.5"
"216","Wayne Gallman Jr.","","","RB66","","","209.5"
"217","T.Y. Hilton","","","WR72","197","","209.5"
"218","J.J. Taylor","","","RB67","","","211.0"
"219","Allen Lazard","","","WR73","218","","212.5"
"220","Christian Kirk","SF","6","WR74","245","","213.5"
"221","Seattle Seahawks","DST","9","DST15","233","","215.5"
"222","Green Bay Packers","DST","13","DST16","204","","216.0"
"223","Emmanuel Sanders","","","WR75","215","","218.0"
"224","Wil Lutz","DEN","11 ","K16","","","218.5"
"225","Kadarius Toney","","","WR76","232","","218.5"
"226","Arizona Cardinals","DST","12","DST17","226","","219.5"
"227","Salvon Ahmed","","","RB68","246","","220.5"
"228","Carlos Hyde ","","","RB69","209","","220.5"
"229","Todd Gurley","II","","RB70","227","","220.5"
"230","Blake Jarwin","","","TE23","216","","222.5"
"231","Cole Kmet","CHI","10","TE24","205","","223.0"
"232","Adam Trautman","DEN","11","TE25","219","","226.0"
"233","Carson Wentz","MIN","7","QB28","244","","250.0"
"234","Tennessee Titans","DST","13","DST18","","","175.0"
"235","Anthony McFarland Jr.","","","RB71","","","176.0"
"236","Tre","","'Quan Smith","","","WR77","242","","230.5"
"237","Cordarrelle Patterson","","","RB72","225","","230.5"
"238","Justin Jackson","","","RB73","","","231.5"
"239","O.J. Howard","","","TE26","","","183.0"
"240","Joshua Palmer","BUF","7","WR78","228","","232.5"
"241","Tyrell Williams","","","WR79","224","","233.5"
"242","Chicago Bears","DST","10","DST19","229","","234.5"
"243","Tarik Cohen","","","RB74","250","","235.0"
"244","Boston Scott","","","RB75","231","","236.5"
"245","Taysom Hill","","","TE27","","","193.0"
"246","Jordan Akins","","","TE28","","","194.0"
"247","Jaret Patterson","LAC","7","RB76","","","197.0"
"248","Elijah Mitchell","NE","14","RB77","","","199.0"
"249","Parris Campbell","DAL","7","WR80","243","","240.5"
"250","Nico Collins","HOU","10","WR81","","","201.0"
"251","Donovan Peoples-Jones","","","WR82","","","203.0"
"252","Los Angeles Chargers","DST","7","DST20","206","","251.5"
"253","Benny Snell Jr.","","","RB78","","","209.0"
"254","Javian Hawkins","TEN","13","RB79","","","210.0"
"255","Brian Hill","","","RB80","","","211.0"
"256","Daniel Jones","IND","14 ","QB29","238","","246.5"
"257","Evan McPherson","CIN","10","K17","223","","247.5"
"258","Eric Ebron","","","TE29","230","","248.0"
"259","Joshua Kelley","","","RB81","","","218.0"
"260","Xavier Jones","","","RB82","220","","305.0"
"261","Carolina Panthers","DST","13","DST21","222","","257.5"
"262","New Orleans Saints","DST","6","DST22","236","","252.5"
"263","Chris Herndon","IV","","TE30","","","225.0"
"264","Darius Slayton","NYG","10","WR83","","","226.0"
"265","Justice Hill","BAL","8 ","RB83","","","227.0"
"266","Sam Darnold","SEA","9","QB30","234","","255.0"
"267","Juwan Johnson","NO","6","TE31","","","234.0"
"268","Jerick McKinnon","","","RB84","237","","270.5"
"269","Byron Pringle","","","WR84","","","239.0"
"270","Sammy Watkins","","","WR85","241","","261.0"
"271","Tim Tebow","","","TE32","","","244.0"
"272","Hayden Hurst","","","TE33","","","245.0"
"273","Dawson Knox","BUF","7","TE34","","","247.0"
"274","Jimmy Graham","","","TE35","","","249.0"
"275","Detrez Newsome","","","RB85","249","","249.0"
"276","John Brown","","","WR86","251","","280.5"
"277","Houston Texans","DST","10","DST23","","","252.0"
"278","Paul McRoberts","","","WR87","252","","252.0"
"279","Jonathan Brown","","","K18","253","","253.0"
"280","Sam Ficken","","","K19","","","254.0"
"281","Marcus Marshall","","","RB86","254","","254.0"
"282","Vincent Testaverde","","","QB31","255","","255.0"
"283","Nick Tiano","","","QB32","256","","256.0"
"284","Kent Taylor","","","TE36","257","","257.0"
"285","Cam Sutton","","","TE37","258","","258.0"
"286","Stevan Ridley","","","RB87","259","","259.0"
"287","Drew Lock","SEA","9","QB33","","","259.0"
"288","Brandon Weeden","","","QB34","260","","260.0"
"289","Breshad Perriman","","","WR88","","","260.0"
"290","Isaiah Burse","","","WR89","261","","261.0"
"291","La","","'Mical Perine","","","RB88","","","261.0"
"292","Juwan Green","","","WR90","262","","262.0"
"293","Taywan Taylor","","","WR91","263","","263.0"
"294","Qadree Ollison","","","RB89","","","263.0"
"295","Derel Walker","","","WR92","264","","264.0"
"296","Tyler Davis","","","WR93","265","","265.0"
"297","Dan Arnold","","","TE38","","","265.0"
"298","Connor Davis","","","TE39","266","","266.0"
"299","Tyrod Taylor","","","QB35","","","267.0"
"300","Josiah Deguara","","","TE40","267","","267.0"
"301","Khalid Hill","","","RB90","268","","268.0"
"302","Aaron Fuller","","","WR94","269","","269.0"
"303","Austin Traylor","","","TE41","270","","270.0"
"304","Pooka Williams Jr.","","","RB91","","","270.0"
"305","Jarvion Franklin","","","RB92","271","","271.0"
"306","Scotty Miller","","","WR95","","","271.0"
"307","Martavis Bryant","","","WR96","272","","272.0"
"308","Cam Newton","","","QB36","","","273.0"
"309","Drew Anderson","","","QB37","273","","273.0"
"310","Denzel Mims","","","WR97","","","274.0"
"311","Cole McDonald","","","QB38","274","","274.0"
"312","Willie Snead","IV","","WR98","275","","275.0"
"313","Dee Eskridge","","","WR99","","","275.0"
"314","Darrin Hall","","","RB93","276","","276.0"
"315","Dalton Schultz","HOU","10","TE42","","","277.0"
"316","DeAndre Thompkins","","","WR100","277","","277.0"
"317","Phillip Andersen","","","K20","278","","278.0"
"318","Eno Benjamin","","","RB94","","","278.0"
"319","Isaiah Crowell","","","RB95","279","","279.0"
"320","Jeff Wilson Jr.","","","RB96","","","279.0"
"321","Jeremy Kerley","","","WR101","280","","280.0"
"322","Austin MacGinnis","","","K21","","","280.0"
"323","Broc Rutter","","","QB39","281","","281.0"
"324","DeSean Jackson","","","WR102","","","282.0"
"325","Royce Freeman","","","RB97","","","284.0"
"326","Dallas Cowboys","DST","7","DST24","","","286.0"
"327","Keke Coutee","","","WR103","","","288.0"
"328","Jared Goff","DET","9","QB40","","","289.0"
"329","Mo Alie-Cox","IND","14","TE43","","","290.0"
"330","Teddy Bridgewater","DET","9","QB41","","","291.0"
"331","Olamide Zaccheaus","ATL","6","WR104","","","292.0"
"332","Jalen Richard","","","RB98","","","294.0"
"333","Hunter Renfrow","","","WR105","","","296.0"
"334","Larry Rountree","III","","RB99","","","298.0"
"335","Jimmy Garoppolo","LAR","11","QB42","","","300.0"
"336","Samaje Perine","CIN","10","RB100","","","302.0"
"337","Travis Fulgham","","","WR106","","","303.0"
"338","Ke","","'Shawn Vaughn","","","RB101","","","305.0"
"339","Mike Boone","","","RB102","","","306.0"
"340","David Moore","CAR","13","WR107","","","307.0"
"341","Quintez Cephus ","","","WR108","","","308.0"
"342","Kerryon Johnson","","","RB103","","","309.0"
"343","Philadelphia Eagles","DST","14","DST25","","","311.0"
"344","D","","'Onta Foreman","","","RB104","","","312.0"
"345","Chris Boswell","PIT","7","K22","","","313.0"
"346","New York Giants","DST","10","DST26","","","314.0"
"347","Josh Reynolds","","","WR109","","","315.0"
"348","Tim Patrick","","","WR110","","","316.0"
"349","Graham Gano","","","K23","","","317.0"
"350","Kalen Ballage","","","RB105","","","318.0"
"351","Cairo Santos","CHI","10","K24","","","319.0"
"352","Cody Parkey","","","K25","","","320.0"
"353","Deonte Harty","","","WR111","","","321.0"
"354","Anthony Miller","","","WR112","","","322.0"
"355","Rashard Higgins","","","WR113","","","323.0"
"356","Matt Breida","","","RB106","","","324.0"
"357","Ameer Abdullah","","","RB107","","","325.0"
"358","New York Jets","DST","6","DST27","","","326.0"
"359","KJ Hamler ","","","WR114","","","327.0"
"360","C.J. Uzomah","","","TE44","","","328.0"
"361","Nick Folk","ATL","6","K26","","","329.0"
"362","Zach Pascal","","","WR115","","","330.0"
"363","Marquise Goodwin","","","WR116","","","331.0"
"364","Jake Elliott","PHI","14","K27","","","332.0"
"365","Ka'imi Fairbairn","HOU","10","K28","","","333.0"
"366","Jonathan Williams","","","RB108","","","334.0"
"367","Jacksonville Jaguars","DST","7","DST28","","","335.0"
"368","Devin Funchess","","","WR117","","","336.0"
"369","Josh Lambo","","","K29","","","337.0"
"370","Michael Badgley","","","K30","","","338.0"
"371","Atlanta Falcons","DST","6","DST29","","","339.0"
"372","Amari Rodgers","","","WR118","","","340.0"
"373","Joey Slye","TEN","13","K31","","","341.0"
"374","Stephen Anderson","","","TE45","","","342.0"
"375","David Njoku","","","TE46","","","343.0"
"376","Ito Smith","","","RB109","","","344.0"
"377","Dyami Brown","WAS","9","WR119","","","345.0"
"378","Albert Wilson","","","WR120","","","346.0"
"379","Chase McLaughlin","TB","9","K32","","","347.0"
"380","Donald Parham Jr.","","","TE47","","","348.0"
"381","Dustin Hopkins","","","K33","","","349.0"
"382","Kendrick Bourne","ARI","12","WR121","","","350.0"
"383","Marcus Mariota","WAS","9","QB43","","","351.0"
"384","Antonio Gandy-Golden","","","WR122","","","352.0"
"385","Van Jefferson","WAS","9","WR123","","","353.0"
"386","Detroit Lions","DST","9","DST30","","","354.0"
"387","Keelan Cole Sr.","","","WR124","","","355.0"
"388","Tutu Atwell","MIA","14 ","WR125","","","356.0"
"389","James Washington","","","WR126","","","357.0"
"390","N","","'Keal Harry","","","WR127","","","358.0"
"391","Tucker McCann","","","K34","","","359.0"
"392","Randy Bullock","","","K35","","","360.0"
"393","Cam Sims","","","WR128","","","361.0"
"394","Jalen Guyton","","","WR129","","","362.0"
"395","Chris Conley","","","WR130","","","363.0"
"396","Shi Smith","","","WR131","","","364.0"
"397","Preston Williams","","","WR132","","","365.0"
"398","Damiere Byrd","","","WR133","","","367.0"
"399","Trent Sherfield Sr.","BUF","7","WR134","","","368.0"
"400","Michael Strachan","","","WR135","","","369.0"
"401","Matt Jones","","","RB110","","","370.0"
"402","Matt Ammendola","","","K36","","","371.0"
"403","Jalen Hurd","","","WR136","","","372.0"
"404","Ryan Santoso","","","K37","","","373.0"
"405","Aldrick Rosas","","","K38","","","374.0"
"406","Devin Smith","","","WR137","","","375.0"
"407","Jordan Love","GB","13","QB44","","","376.0"
"408","Greg Joseph","","","K39","","","377.0"
"409","Cincinnati Bengals","DST","10","DST31","","","378.0"
"410","Dezmon Patmon","","","WR138","","","379.0"
"411","Khalil Herbert","","","RB111","","","380.0"
"412","Rodney Adams","","","WR139","","","381.0"
"413","Jesper Horsted","","","TE48","","","382.0"
"414","Peyton Barber","","","RB112","","","383.0"
"415","Eddy Pineiro","SF","6","K40","","","384.0"
"416","Demetric Felton Jr.","","","RB113","","","385.0"
"417","Cornell Powell","","","WR140","","","386.0"
"418","Cam Akers","SEA","9","RB114","","","388.0"
""
""
