"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"321","Harry Douglas","","","WR99","","","310.0"
"322","Chris Conley","","","WR100","","","311.0"
"323","Benny Cunningham Jr.","","","RB91","","","312.0"
"324","Brian Hartline","","","WR101","","","313.0"
"325","Josh Gordon","","","WR102","","","315.0"
"326","Robert Woods","","","WR103","","","316.0"
"327","Jimmy Clausen","","","QB41","","","317.0"
"328","Justin Hunter","","","WR104","","","318.0"
"329","Cairo Santos","CHI","7","K29","","","320.0"
"330","Garrett Graham","","","TE35","","","321.0"
"331","E.J. Manuel","","","QB42","","","322.0"
"332","Clive Walford","","","TE36","","","323.0"
"333","Tim Tebow","","","TE37","","","324.0"
"334","Matt Cassel","","","QB43","","","325.0"
"335","Jarius Wright","","","WR105","","","326.0"
"336","Hakeem Nicks","","","WR106","","","328.0"
"337","Gavin Escobar","","","TE38","","","329.0"
"338","Jacob Tamme","","","TE39","","","330.0"
"339","Jace Amaro","","","TE40","","","331.0"
"340","Marquess Wilson","","","WR107","","","332.0"
"341","Ryan Succop","","","K30","","","333.0"
"342","Ka","","'Deem Carey","","","RB92","","","335.0"
"343","James Casey","","","TE41","","","336.0"
"344","Corey Brown","","","WR108","","","337.0"
"345","Nate Washington","","","WR109","","","339.0"
"346","Lance Kendricks","","","TE42","","","340.0"
"347","Toby Gerhart","","","RB93","","","341.0"
"348","Kai Forbath","","","K31","","","342.0"
"349","Bilal Powell","","","RB94","","","343.0"
"350","Mike Tolbert","","","RB95","","","344.0"
"351","Dion Sims","","","TE43","","","345.0"
"352","Dexter McCluster","","","RB96","","","346.0"
"353","Brent Celek","","","TE44","","","347.0"
"354","Marcedes Lewis","","","TE45","","","348.0"
"355","Matt Asiata","","","RB97","","","349.0"
"356","Crockett Gillmore","","","TE46","","","351.0"
"357","Shaun Suisham","","","K32","","","352.0"
"358","Blaine Gabbert","","","QB44","","","353.0"
"359","Devin Hester","","","WR110","","","354.0"
"360","Jerricho Cotchery","","","WR111","","","356.0"
"361","Josh Lambo","","","K33","","","357.0"
"362","Drew Stanton","","","QB45","","","358.0"
"363","AJ McCarron","","","QB46","","","359.0"
"364","Travis Coons","","","K34","","","360.0"
"365","Tyler Clutts","","","RB98","","","362.0"
"366","Chris Hogan","","","WR112","","","363.0"
"367","Derek Anderson","","","QB47","","","364.0"
"368","Shaun Hill","","","QB48","","","365.0"
"369","Rashad Ross","","","WR113","","","366.0"
"370","Tennessee Titans","DST","4","DST31","","","367.0"
"371","Ricardo Lockette","","","WR114","","","369.0"
"372","Jarryd Hayne","","","RB99","","","370.0"
"373","Travaris Cadet","","","RB100","","","371.0"
"374","Jeff Cumberland","","","TE47","","","372.0"
"375","Las Vegas Raiders","DST","","DST32","","","373.0"
"376","Andre Caldwell","","","WR115","","","374.0"
"377","Jonathan Grimes","","","RB101","","","375.0"
"378","Juwan Thompson","","","RB102","","","376.0"
"379","Dion Lewis","","","RB103","","","377.0"
"380","J.J. Nelson","","","WR116","","","378.0"
"381","Zach Zenner","","","RB104","","","379.0"
"382","Joseph Fauria","","","TE48","","","380.0"
"383","David Akers","","","K35","","","382.0"
"384","Bryce Brown","","","RB105","","","383.0"
"385","Ryan Williams","","","RB106","","","384.0"
"386","Tim Wright","","","TE49","","","385.0"
"387","Zach Hocker","","","K36","","","386.0"
"388","Matt Hasselbeck","","","QB49","","","387.0"
"389","Ted Ginn Jr.","","","WR117","","","388.0"
"390","Ryan Nassib","","","QB50","","","389.0"
"391","Luke McCown","","","QB51","","","390.0"
"392","Matt McGloin","","","QB52","","","391.0"
"393","Andre Roberts","","","WR118","","","392.0"
"394","Kellen Clemens","","","QB53","","","393.0"
"395","Colt McCoy","","","QB54","","","394.0"
"396","Vince Young","","","QB55","","","395.0"
"397","Sean Renfree","","","QB56","","","396.0"
"398","Kendall Hunter","","","RB107","","","397.0"
"399","Matt Schaub","","","QB57","","","398.0"
"400","Matt Moore","","","QB58","","","399.0"
"401","Steven Jackson","","","RB108","","","400.0"
"402","Michael Vick","","","QB59","","","401.0"
"403","Josh Huff","","","WR119","","","402.0"
"404","Deonte Thompson","","","WR120","","","403.0"
"405","Tarvaris Jackson","","","QB60","","","404.0"
"406","Scott Tolzien","","","QB61","","","405.0"
"407","Miles Austin","","","WR121","","","406.0"
"408","Mike Glennon","","","QB62","","","407.0"
"409","Jordan","Gay","","K37","","","408.0"
"410","T.J. Yates","","","QB63","","","409.0"
"411","Gary Barnidge","","","TE50","","","410.0"
"412","Michael Dyer","","","RB109","","","411.0"
"413","Rob Housler","","","TE51","","","412.0"
"414","Billy Cundiff","","","K38","","","413.0"
"415","Will Johnson","","","RB110","","","414.0"
"416","Antonio Andrews","","","RB111","","","415.0"
"417","Shonn Greene","","","RB112","","","416.0"
"418","Tyler Kroft","","","TE52","","","417.0"
"419","Brandon Pettigrew","","","TE53","","","418.0"
"420","Kris Brown","","","K39","","","419.0"
"421","Landry Jones","","","QB64","","","420.0"
"422","Lance Moore","","","WR122","","","422.0"
"423","Greg Salas","","","WR123","","","423.0"
"424","Corey Fuller","","","WR124","","","424.0"
"425","Dan Gronkowski","","","TE54","","","425.0"
"426","Dan Orlovsky","","","QB65","","","426.0"
""
""
