"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG","Real-Time (?)"
"141","Rico Dowdle","PIT","5","RB50","134","146","140.0","172  -31"
"142","Braelon Allen","NYJ","9","RB51","174","107","140.5","107  +35"
"143","Dallas Goedert","PHI","9","TE17","125","158","141.5","138  +5"
"144","Ray Davis","BUF","7","RB52","146","140","143.0","155  -11"
"145","Christian Kirk","SF","14","WR56","138","150","144.0","149  -4"
"146","Luther Burden III","CHI","5","WR57","133","156","144.5","175  -29"
"147","Denver Broncos","DST","12","DST1","155","142","148.5","101  +46"
"148","Tyler Allgeier","ARI","8","RB53","153","149","151.0","148"
"149","Dylan Sampson","CLE","9","RB54","168","135","151.5","145  +4"
"150","Tre Harris","LAC","12","WR58","128","177","152.5","189  -39"
"151","Hollywood Brown","PHI","9","WR59","150","155","152.5","178  -27"
"152","Tua Tagovailoa","ATL","5","QB21","162","147","154.5","207  -55"
"153","Hunter Henry","NE","14","TE18","156","153","154.5","158  -5"
"154","Philadelphia Eagles","DST","9","DST2","151","161","156.0","100  +54"
"155","Keenan Allen","LAC","12","WR60","184","129","156.5","156  -1"
"156","Zach Ertz ","","","TE19","158","169","163.5","166  -10"
"157","Michael Penix Jr.","ATL","5 ","QB22","166","163","164.5","183  -26"
"158","Bryce Young","CAR","14","QB23","171","159","165.0","204  -46"
"159","Pittsburgh Steelers","DST","5","DST3","160","171","165.5","126  +33"
"160","Cam Ward","TEN","10","QB24","161","172","166.5","192  -32"
"161","Matthew Stafford","LAR","8","QB25","163","175","169.0","177  -16"
"162","DeAndre Hopkins","BAL","7","WR61","183","157","170.0","275  -113"
"163","Xavier Legette","CAR","14","WR62","182","162","172.0","179  -16"
"164","Rashod Bateman","BAL","7","WR63","148","197","172.5","157  +7"
"165","Cedric Tillman","CLE","9","WR64","176","170","173.0","171  -6"
"166","Isaac Guerendo","SF","14","RB55","144","203","173.5","187  -21"
"167","Brenton Strange","JAC","8","TE20","179","168","173.5","203  -36"
"168","Geno Smith","NYJ","9","QB26","186","164","175.0","214  -46"
"169","Kyle Williams","NE","14","WR65","143","209","176.0","232  -63"
"170","Adam Thielen","","","WR66","165","187","176.0","186  -16"
"171","Minnesota Vikings","DST","6","DST4","167","189","178.0","140  +31"
"172","Kyle Monangai","CHI","5","RB56","208","152","180.0","251  -79"
"173","Isaiah Likely","NYG","14","TE21","154","207","180.5","182  -9"
"174","Jack Bech","LV","8","WR67","147","216","181.5","205  -31"
"175","Wan'Dale Robinson","TEN","10","WR68","181","182","181.5","197  -22"
"176","Sam Darnold","SEA","8","QB27","192","174","183.0","210  -34"
"177","Mason Taylor","NYJ","9","TE22","170","198","184.0","273  -96"
"178","Jacory Croskey-Merritt","WAS","12","RB57","284","87","185.5","92  +86"
"179","Cade Otton","TB","9","TE23","180","191","185.5","218  -39"
"180","Aaron Rodgers","","","QB28","194","178","186.0","264  -84"
"181","Brandon Aubrey","DAL","10","K1","229","145","187.0","109  +72"
"182","Kareem Hunt","","","RB58","216","160","188.0","181  +1"
"183","Justice Hill","BAL","7","RB59","203","173","188.0","258  -75"
"184","Baltimore Ravens","DST","7","DST5","191","186","188.5","129  +55"
"185","Houston Texans","DST","6","DST6","202","176","189.0","150  +35"
"186","Romeo Doubs","NE","14","WR69","185","196","190.5","193  -7"
"187","Joshua Palmer","BUF","7","WR70","187","194","190.5","180  +7"
"188","Blake Corum","LAR","8","RB60","177","206","191.5","221  -33"
"189","Ollie Gordon II","MIA","12","RB61","257","128","192.5","153  +36"
"190","DeMario Douglas","NE","14","WR71","198","188","193.0","213  -23"
"191","Chig Okonkwo","WAS","12","TE24","207","181","194.0","184  +7"
"192","San Francisco 49ers","DST","14","DST7","164","227","195.5","163  +29"
"193","Cameron Dicker","LAC","12","K2","230","165","197.5","125  +68"
"194","Jaylen Wright","MIA","12","RB62","175","222","198.5","220  -26"
"195","Roschon Johnson","CHI","5","RB63","178","219","198.5","217  -22"
"196","Anthony Richardson Sr.","IND","11","QB29","188","210","199.0","257  -61"
"197","Pat Freiermuth","PIT","5","TE25","159","242","200.5","216  -19"
"198","Will Shipley","PHI","9","RB64","223","179","201.0","191  +7"
"199","Buffalo Bills","DST","7","DST8","238","167","202.5","142  +57"
"200","Mike Gesicki","CIN","10","TE26","169","239","204.0","253  -53"
"201","Russell Wilson","","","QB30","219","190","204.5","241  -40"
"202","Alec Pierce","IND","11","WR72","197","214","205.5","246  -44"
"203","Jake Bates","DET","8","K3","233","183","208.0","136  +67"
"204","Kansas City Chiefs","DST","10","DST9","204","213","208.5","164  +40"
"205","DJ Giddens","IND","11","RB65","209","208","208.5","250  -45"
"206","Woody Marks","HOU","6","RB66","252","166","209.0","206"
"207","Jaxson Dart","NYG","14","QB31","213","205","209.0","231  -24"
"208","Brashard Smith","KC","10","RB67","193","226","209.5","274  -66"
"209","Amari Cooper ","","","WR73","190","232","211.0","196  +13"
"210","Ka'imi Fairbairn","HOU","6","K4","231","193","212.0","154  +56"
"211","Washington Commanders","DST","12","DST10","157","269","213.0","195  +16"
"212","Detroit Lions","DST","8","DST11","199","229","214.0","176  +36"
"213","Green Bay Packers","DST","5","DST12","250","185","217.5","162  +51"
"214","Dalton Schultz","HOU","6","TE27","201","237","219.0","262  -48"
"215","Daniel Jones","IND","11 ","QB32","244","195","219.5","255  -40"
"216","Jarquez Hunter","LAR","8","RB68","218","221","219.5","269  -53"
"217","Quentin Johnston","LAC","12","WR74","173","270","221.5","239  -22"
"218","Jalen McMillan","TB","9","WR75","141","304","222.5","247  -29"
"219","Isaac TeSlaa","DET","8","WR76","266","180","223.0","229  -10"
"220","Harrison Butker","KC","10","K5","235","211","223.0","161  +59"
"221","Pat Bryant","DEN","12","WR77","200","247","223.5","263  -42"
"222","Ja'Tavion Sanders","CAR","14","TE28","215","241","228.0","259  -37"
"223","Miles Sanders ","","","RB69","239","225","232.0","233  -10"
"224","Keaton Mitchell","LAC","12","RB70","265","201","233.0","240  -16"
"225","Tyler Bass","BUF","7","K6","234","235","234.5","165  +60"
"226","Dont'e Thornton Jr.","LV","8","WR78","281","192","236.5","199  +27"
"227","Seattle Seahawks","DST","8","DST13","195","279","237.0","185  +42"
"228","Tahj Brooks","CIN","10","RB71","258","217","237.5","224  +4"
"229","Darren Waller","","","TE29","232","243","237.5","188  +41"
"230","Elijah Arroyo","SEA","8 ","TE30","241","234","237.5","226  +4"
"231","Chase McLaughlin","TB","9","K7","276","200","238.0","168  +63"
"232","Jaylin Noel","HOU","6","WR79","210","267","238.5","235  -3"
"233","Juwan Johnson","NO","11","TE31","228","250","239.0",""
"234","Kendre Miller","N","11 O","RB72","264","215","239.5","242  -8"
"235","Tampa Bay Buccaneers","DST","9","DST14","196","285","240.5","277  -42"
"236","Los Angeles Rams","DST","8","DST15","256","228","242.0","256  -20"
"237","Joe Flacco","CIN","10","QB33","286","202","244.0",""
"238","Michael Wilson","ARI","8","WR80","214","274","244.0","265  -27"
"239","Jake Elliott","PHI","9","K8","278","212","245.0","194  +45"
"240","Elic Ayomanor","TEN","10","WR81","225","265","245.0","222  +18"
"241","Theo Johnson","NYG","14","TE32","226","264","245.0","272  -31"
"242","Tory Horton","SEA","8","WR82","268","223","245.5","245  -3"
"243","Evan McPherson","CIN","10","K9","236","256","246.0","200  +43"
"244","Chris Rodriguez Jr.","JAC","8","RB73","","184","184.0","234  +10"
"245","New York Jets","DST","9","DST16","243","251","247.0","202  +43"
"246","Harold Fannin Jr.","CLE","9","TE33","246","248","247.0",""
"247","Tyler Lockett","LV","8","WR83","217","281","249.0","236  +11"
"248","Chris Boswell","PIT","5","K10","275","224","249.5","151  +97"
"249","Devin Neal","N","11 O","RB74","189","314","251.5",""
"250","Jalen Royals","KC","10","WR84","211","289","250.0","271  -21"
"251","Tyler Shough","NO","11","QB34","237","263","250.0",""
"252","Dontayvion Wicks","PHI","9","WR85","224","277","250.5",""
"253","Wil Lutz","DEN","12","K11","309","199","254.0","167  +86"
"254","MarShawn Lloyd","GB","5 ","RB75","205","303","254.0","248  +6"
"255","Roman Wilson","PIT","5","WR86","259","249","254.0","244  +11"
"256","Jaleel McLaughlin","DEN","12","RB76","222","287","254.5","208  +48"
"257","Tyler Loop","BAL","7","K12","279","231","255.0","198  +59"
"258","Raheem Mostert","LV","8","RB77","267","244","255.5","238  +20"
"259","Spencer Rattler","NO","11","QB35","","204","204.0",""
"260","Los Angeles Chargers","DST","12","DST17","253","262","257.5","190  +70"
"261","Terrance Ferguson","LAR","8","TE34","206","","206.0",""
"262","Shedeur Sanders","CLE","9","QB36","227","291","259.0","279  -17"
"263","New York Giants","DST","14","DST18","245","273","259.0","254  +9"
"264","Darius Slayton","NYG","14","WR87","254","266","260.0","268  -4"
"265","Jordan James","SF","14","RB78","212","","212.0",""
"266","New England Patriots","DST","14","DST19","248","278","263.0","267  -1"
"267","Trevor Etienne","CAR","14","RB79","255","271","263.0",""
"268","Dameon Pierce","PHI","9","RB80","","218","218.0","237  +31"
"269","Adonai Mitchell","NYJ","9","WR88","221","307","264.0","261  +8"
"270","Brandon McManus","GB","5","K13","","220","220.0","219  +51"
"271","Cole Kmet","CHI","5","TE35","220","","220.0","227  +44"
"272","Miami Dolphins","DST","12","DST20","251","280","265.5","252  +20"
"273","Dallas Cowboys","DST","10","DST21","287","245","266.0","270  +3"
"274","Kirk Cousins","LV","8","QB37","300","233","266.5",""
"275","Calvin Austin III","NYG","14","WR89","249","284","266.5",""
"276","Jalen Coker","CAR","14","WR90","242","296","269.0","223  +53"
"277","Arizona Cardinals","DST","8","DST22","","230","230.0","201  +76"
"278","Dyami Brown","WAS","12","WR91","247","297","272.0",""
"279","Olamide Zaccheaus","ATL","5","WR92","","236","236.0",""
"280","Cam Little","JAC","8","K14","","238","238.0","211  +69"
"281","Tennessee Titans","DST","10","DST23","240","","240.0",""
"282","Ray-Ray McCloud","III","","WR93","","240","240.0",""
"283","Troy Franklin","DEN","12","WR94","304","246","275.0","249  +34"
"284","Elijah Mitchell","NE","14","RB81","295","257","276.0",""
"285","Devin Singletary","NYG","14","RB82","294","260","277.0",""
"286","Tyler Conklin","DET","8","TE36","270","288","279.0",""
"287","Andrei Iosivas","CIN","10","WR95","288","272","280.0","276  +11"
"288","Matt Gay","LV","8","K15","","252","252.0","215  +73"
"289","Antonio Gibson ","","","RB83","303","259","281.0",""
"290","Sean Tucker","TB","9","RB84","","253","253.0","278  +12"
"291","Kenneth Gainwell","TB","9","RB85","","254","254.0",""
"292","Chicago Bears","DST","5","DST24","","255","255.0","173  +119"
"293","Kayshon Boutte","NE","14","WR96","291","275","283.0",""
"294","Jaylin Lane","WAS","12 ","WR97","","258","258.0",""
"295","Noah Gray","KC","10","TE37","260","311","285.5",""
"296","Xavier Restrepo","TEN","10","WR98","261","","261.0",""
"297","Efton Chism III","NE","14","WR99","","261","261.0",""
"298","Jalen Milroe","SEA","8","QB38","262","","262.0",""
"299","Diontae Johnson","","","WR100","263","","263.0",""
"300","Emanuel Wilson","SEA","8","RB86","","268","268.0",""
"301","Brandin Cooks","","","WR101","269","309","289.0",""
"302","Audric Estime","NO","11","RB87","271","","271.0",""
"303","Zack Moss","","","RB88","272","","272.0",""
"304","Younghoe","Koo","","K16","277","305","291.0","212  +92"
"305","Taysom Hill","","","TE38","273","","273.0",""
"306","Noah Fant","NO","11","TE39","274","","274.0",""
"307","Daniel Carlson","LV","8","K17","308","276","292.0","225  +82"
"308","Jason Sanders","NYG","14","K18","280","","280.0","243  +65"
"309","Jordan Whittington","LAR","8","WR102","282","","282.0",""
"310","Will Reichard","MIN","6","K19","","282","282.0","260  +50"
"311","AJ Dillon","CAR","14","RB89","","283","283.0",""
"312","Oronde Gadsden II","LAC","12","TE40","283","","283.0",""
"313","Ben Sinnott","WAS","12","TE41","285","","285.0",""
"314","Joshua Karty","ARI","8","K20","","286","286.0","266  +48"
"315","Tyler Higbee","LAR","8","TE42","302","294","298.0",""
"316","Christian Watson","GB","5","WR103","289","","289.0",""
"317","Tutu Atwell","MIA","12","WR104","290","","290.0",""
"318","Jake Moody","WAS","12","K21","","290","290.0","280  +38"
"319","Indianapolis Colts","DST","11","DST25","292","","292.0",""
"320","Samaje Perine","CIN","10","RB90","","292","292.0",""
"321","Cincinnati Bengals","DST","10","DST26","","293","293.0","209  +112"
"322","Las Vegas Raiders","DST","8","DST27","293","312","302.5",""
"323","Malik Washington","MIA","12","WR105","","295","295.0",""
"324","Jalen Tolbert","MIA","12","WR106","305","300","302.5",""
"325","Jacksonville Jaguars","DST","8","DST28","296","","296.0",""
"326","Khalil Herbert","","","RB91","297","","297.0",""
"327","New Orleans Saints","DST","11","DST29","298","","298.0",""
"328","Jimmy Garoppolo","LAR","8","QB39","","298","298.0",""
"329","Marquez Valdes-Scantling","","","WR107","299","","299.0",""
"330","Dillon Gabriel","CLE","9","QB40","","299","299.0",""
"331","Isaiah Bond","CLE","9","WR108","","301","301.0",""
"332","Damien Martinez","GB","5","RB92","301","","301.0",""
"333","Ty Johnson","BUF","7","RB93","","302","302.0",""
"334","Cleveland Browns","DST","9","DST30","","306","306.0","230  +104"
"335","Curtis Samuel","","","WR109","306","","306.0",""
"336","Tre Tucker","LV","8","WR110","","308","308.0",""
"337","KeAndre Lambert-Smith","LAC","12","WR111","","310","310.0",""
"338","Chad Ryland","ARI","8","K22","","313","313.0",""
""
""
